Exercise,Options,Answer
We have got ten minutes to finish this ______.,"report, reports",report
The ______ leaves at eleven sharp.,"train, trains",train
He got twelve out of twenty at his last ______.,"test, tests",test
The ______ thirteen is often considered unlicky.,"number, numbers",number
He celebrated his fourteenth ______ yesterday.,"birthday, birthdays",birthday
He celebrated his fourteenth birthday ______.,"yesterday, yesterdays",yesterday
We have to wait for fifteen ______ at least.,"minutes, minute",minutes
"With only fifteen ______ against sixteen, the opposite team could not win.","players, player",players
"With only fifteen players against sixteen, the opposite ______ could not win.","team, teams",team
Seventeen ______ a kilo.,"euros, euro",euros
Seventeen euros a ______.,"kilo, kilos",kilo
This is a nineteen ______ group.,"persons, person",persons
This is a nineteen persons ______.,"group, groups",group
Who said that being twenty was the best ______ of your life ?,"years, year",years
Who said that being twenty was the best years of your ______ ?,"life, lives",life
He had twenty-one ______.,"wives, wive",wives
"Forty ______ ago, nobody had a computer.","years, year",years
"Forty years ago, nobody had a ______.","computer, computers",computer
Fifty ______ of the population is in favor of the reform.,"percent, percents",percent
Fifty percent of the ______ is in favor of the reform.,"population, populations",population
Fifty percent of the population is in ______ of the reform.,"favor, favors",favor
It is unadvisable to make ______ when you are sixty.,"children, childrens",children
He is a ______ older than seventy.,"bit, bits",bit
Four ______ twenty makes eighty.,"times, time",times
He has done ninety ______ of the work by himself.,"percent, percents",percent
He has done ninety percent of the ______ by himself.,"work, works",work
One ______ is a hundred years.,"century, centuries",century
One century is a hundred ______.,"years, year",years
Two thousand ______ have demonstrated against the reform of education.,"people, peoples",people
Two thousand people have demonstrated against the ______ of education.,"reform, reforms",reform
Two thousand people have demonstrated against the reform of ______.,"education, educations",education
One million ______ have been embezzled.,"euros, euro",euros
The ______ population is over seven billions now.,"world, worlds",world
The world ______ is over seven billions now.,"population, populations",population
The world population is over seven ______ now.,"billions, billion",billions
It is the first ______ he is coming.,"time, times",time
She is his second ______.,"wife, wives",wife
We are going to Asia for the third ______.,"time, times",time
Take the fourth ______ on your left.,"street, streets",street
Take the fourth street on your ______.,"left, lefts",left
He shifted into fifth ______.,"gear, gears",gear
She is their sixth ______.,"daughter, daughters",daughter
He arrived in seventh ______ at this race.,"position, positions",position
He arrived in seventh position at this ______.,"race, races",race
He is eight in his ______.,"class, classes",class
He is opening the ninth ______ of the evening.,"bottle, bottles",bottle
He is opening the ninth bottle of the ______.,"evening, evenings",evening
He is the tenth ______ he is going to.,"doctor, doctors",doctor
He came twentieth out of fifty ______.,"students, student",students
I am telling you this for the hundredth ______.,"time, times",time
There were ______ of demonstrators.,"thousands, thousand",thousands
There were thousands of ______.,"demonstrators, demonstrator",demonstrators
Around ten ______ have been taken hostages.,"journalists, journalist",journalists
Around ten journalists have been taken ______.,"hostages, hostage",hostages
I bought a ______ eggs at the grocer's.,"dozen, dozens",dozen
I bought a dozen ______ at the grocer's.,"eggs, egg",eggs
I bought a dozen eggs at the ______'s.,"grocer, grocers",grocer
There were only about a hundred ______.,"demonstrators, demonstrator",demonstrators
I have bought a ______ of gloves.,"pair, pairs",pair
I have bought a pair of ______.,"gloves, glove",gloves
Give me a ______ of water.,"glass, glasses",glass
Give me a glass of ______.,"water, waters",water
Do you want to drink your ______ in a cup ?,"coffee, coffees",coffee
Do you want to drink your coffee in a ______ ?,"cup, cups",cup
I always forget where to put the ______ pans away.,"sauce, sauces",sauce
I always forget where to put the sauce ______ away.,"pans, pan",pans
I do not know whether I should cook the ______ in the pan or in the sauce pan.,"onions, onion",onions
I do not know whether I should cook the onions in the ______ or in the sauce ______.,"pan, pans",pan
I do not know whether I should cook the onions in the pan or in the ______ pan.,"sauce, sauces",sauce
Put the ______ on the drainboard.,"plates, plate",plates
Put the plates on the ______.,"drainboard, drainboards",drainboard
There is a ______ fence on the window to dissuade thieves.,"wire, wires",wire
There is a wire ______ on the window to dissuade thieves.,"fence, fences",fence
There is a wire fence on the ______ to dissuade thieves.,"window, windows",window
You have to roll the ______ with a rolling pin.,"dough, doughs",dough
You have to roll the dough with a rolling ______.,"pin, pins",pin
You have to spread the ______ out with a spatula.,"plaster, plasters",plaster
You have to spread the plaster out with a ______.,"spatula, spatulas",spatula
I am looking for a ______ to clean the table.,"sponge, sponges",sponge
I am looking for a sponge to clean the ______.,"table, tables",table
Clean the ______ with a tea towel after cleaning it with a sponge.,"table, tables",table
Clean the table with a ______ towel after cleaning it with a sponge.,"tea, teas",tea
Clean the table with a tea ______ after cleaning it with a sponge.,"towel, towels",towel
You forgot to set the ______.,"cutlery, cutleries",cutlery
The ______ is stained by drops of wine.,"tablecloth, tablecloths",tablecloth
The tablecloth is stained by ______ of wine.,"drops, drop",drops
The tablecloth is stained by drops of ______.,"wine, wines",wine
______-heat that in the microwave.,"Re, Res",Re
Re-heat that in the ______.,"microwave, microwaves",microwave
Stop playing with the ______.,"matches, match",matches
The ______ maker is empty.,"coffee, coffees",coffee
The coffee ______ is empty.,"maker, makers",maker
"Usually, she serves ______ in a China ______pot.","tea, teas",tea
"Usually, she serves tea in a China ______.","teapot, teapots",teapot
______ plays with the mixer.,"Baby, Babys",Baby
Baby plays with the ______.,"mixer, mixers",mixer
Take the ______-screw to open the bottle.,"cork, corks",cork
Take the cork-______ to open the bottle.,"screw, screws",screw
Take the cork-screw to open the ______.,"bottle, bottles",bottle
I would need a ______ opener to open the beer ______.,"bottle, bottles",bottle
I would need a bottle ______ to open the beer bottle.,"opener, openers",opener
I would need a bottle opener to open the ______ bottle.,"beer, beers",beer
I would like a ______ of fruity red wine.,"bottle, bottles",bottle
I would like a bottle of ______ red wine.,"fruity, fruities",fruity
I would like a bottle of fruity red ______.,"wine, wines",wine
Put the ______ in a pot.,"jam, jams",jam
Put the jam in a ______.,"pot, pots",pot
You forgot to put the ______ on the table.,"napkins, napkin",napkins
You forgot to put the napkins on the ______.,"table, tables",table
Put some plastic ______ on the plate before putting it in the fridge.,"film, films",film
Put some plastic film on the ______ before putting it in the fridge.,"plate, plates",plate
Put some plastic film on the plate before putting it in the ______.,"fridge, fridges",fridge
I am looking for my ______ brush.,"hair, hairs",hair
I am looking for my hair ______.,"brush, brushes",brush
Fill up the ______ can and go water the plants.,"watering, waterings",watering
Fill up the watering can and go water the ______.,"plants, plant",plants
He needs a ______ of secateurs to do some gardening.,"pair, pairs",pair
He needs a pair of ______ to do some gardening.,"secateurs, secateur",secateurs
He needs a pair of secateurs to do some ______.,"gardening, gardenings",gardening
